FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed
86,87,800,63.79661358413689,128.42170886817712,0.11652290217280178,0.6766639597492601,36,5,57,22,35,0.00047222484486557066,60,1.0,random,2
44,184,800,98.06610351251413,348.18693242183815,0.14310462326941825,0.8906903612082879,353,15,415,74,341,0.00027733315785237684,60,1.0,greedy,0
49,226,798,81.23185638063818,379.24655147772086,0.1332560588014071,0.94091045849611,426,16,477,69,408,0.0001811028100976023,60,1.0,greedy,1
45,163,800,84.22618642629094,235.90870738209443,0.12595297483889537,0.8585554734383544,447,6,481,41,440,0.00019876310354471734,60,1.0,greedy,2
49,106,800,68.06315793611947,139.57094263489338,0.11501024894040997,0.7935839705384722,484,8,510,33,477,0.0001461507926681416,60,1.0,mincost,0
49,151,800,67.86615290885673,148.82861693103095,0.11718289114335431,0.8077041786775774,327,9,356,36,320,0.00017437203749263118,60,1.0,mincost,1
46,181,800,60.32904526984872,117.37451141884442,0.10282665775984948,0.8362786380833485,406,8,434,34,400,0.00014532065586237995,60,1.0,mincost,2
127,262,800,66.81497296827263,138.3838771016525,0.11602551567675176,0.6202371092172921,27,6,58,32,26,0.0007689378878106191,60,1.0,eqopt,0
106,235,800,80.19051377415248,195.2329335462547,0.135803949481911,0.7095443892295211,73,9,109,38,71,0.0004584641660085226,60,1.0,eqopt,1
102,335,800,55.59547072959092,111.99232133511723,0.10401949316059807,0.654894612841742,23,7,56,34,22,0.000509149229355281,60,1.0,eqopt,2
61,800,800,31.904618696655078,65.43885000316557,0.05011329370553508,0.8631058758740745,666,0,0,0,0,0.0,100,1.0,static,0
73,800,800,29.890246945069308,58.34669752842399,0.045879887088357225,0.7711388867407669,449,0,0,0,0,0.0,100,1.0,static,1
67,800,800,32.27126431821597,63.482237633038245,0.05154335691922574,0.8007714612181731,420,0,0,0,0,0.0,100,1.0,static,2
31,49,800,94.70500115723264,204.733904403936,0.14860065780633547,0.7280966462744446,34,12,87,55,32,0.001929574612445772,100,1.0,random,0
58,145,800,87.53097057371635,205.5044970079087,0.16242816394536358,0.7551606823840104,60,16,158,67,91,0.0008869643236931873,100,1.0,random,1
40,335,800,85.42596350764879,230.68623212911257,0.15204929331534667,0.759128798452254,55,17,139,82,57,0.0012396479158090928,100,1.0,random,2
28,150,779,104.70922809376785,369.71772753146604,0.1688221088776431,0.844283750017566,407,25,568,157,411,0.0004224713469961887,100,1.0,greedy,0
37,135,800,102.34885931577176,300.1536326066429,0.15801942343219266,0.7722703235067313,221,17,366,98,268,0.0005132948747822659,100,1.0,greedy,1
32,193,800,107.13830315841592,413.5171531749826,0.16453398607090952,0.9175736100892461,422,24,540,128,412,0.0004771474534426614,100,1.0,greedy,2
31,58,800,52.19643575366848,84.95154094891168,0.08966465567493968,0.6150640724719902,330,8,385,62,323,0.00026905054745896543,100,1.0,mincost,0
37,120,800,53.88323385402192,96.27261647689797,0.09675414768752982,0.5918579905047459,296,7,334,44,290,0.00016078050201373268,100,1.0,mincost,1
34,105,800,52.94035115811796,90.71092054810092,0.087762386825119,0.7733536351919187,215,9,267,59,208,0.0003414666609348146,100,1.0,mincost,2
63,65,800,55.6270608092363,92.88273942331145,0.10179986115520544,0.6000767794993291,32,8,91,59,32,0.0013967533215589196,100,1.0,eqopt,0
64,121,800,59.53293693525481,106.13734325214617,0.10550284652072499,0.617815389567104,32,9,93,62,31,0.0010440624162267019,100,1.0,eqopt,1
67,149,800,54.128818354304,98.9251172110725,0.09974604817575398,0.6334441742118425,26,9,87,61,26,0.0009642189011961343,100,1.0,eqopt,2
