FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed,censored
135,227,3000,339.747384176798,1006.1081981185,0.1843608890331566,0.6841543183801742,1989,0,0,0,0,0.0,0.663,0.1132491280589326,0.3353693993728334,0,0,0,0,30,1.0,static,0,True
151,418,2750,335.84571249606023,1171.637365616462,0.1677017841724808,0.7545810903953295,2378,0,0,0,0,0.0,0.8644129407488186,0.1220813204275028,0.4258950801950062,0,0,0,0,30,1.0,static,1,False
230,830,3000,316.49602648070095,1452.9449871670315,0.1543480878121944,0.7895687124711669,2769,0,0,0,0,0.0,0.923,0.1054986754935669,0.4843149957223439,0,0,0,0,30,1.0,static,2,True
220,548,3000,374.0834814209543,1663.09285447843,0.1617570478487512,0.8251516743526078,2938,0,0,0,0,0.0,0.9793333333333332,0.1246944938069847,0.5543642848261434,0,0,0,0,30,1.0,static,3,True
156,280,3000,336.631048959598,896.0219940310704,0.1605476955125786,0.6345310422239725,1370,0,0,0,0,0.0,0.4566666666666666,0.1122103496531993,0.2986739980103568,0,0,0,0,30,1.0,static,4,True
226,367,3000,381.3450568588649,1430.9941793101154,0.1616146148631863,0.7543740720008412,2509,0,0,0,0,0.0,0.8363333333333334,0.1271150189529549,0.4769980597700385,0,0,0,0,30,1.0,static,5,True
186,425,2770,304.9828924497448,970.4633340712032,0.1459200356893136,0.6641095380733275,1519,0,0,0,0,0.0,0.5481775532298809,0.110062393522102,0.3502213403360531,0,0,0,0,30,1.0,static,6,False
172,230,3000,385.3432297248158,1051.034007539303,0.173188163700285,0.690054732532443,2400,0,0,0,0,0.0,0.8,0.1284477432416052,0.3503446691797677,0,0,0,0,30,1.0,static,7,True
274,417,3000,290.5704622343433,1231.237404460937,0.1441208110154582,0.7093696437808868,1839,0,0,0,0,0.0,0.613,0.0968568207447811,0.4104124681536455,0,0,0,0,30,1.0,static,8,True
117,197,3000,354.2752213601124,969.025854800371,0.155418591503293,0.6439251923489714,1152,0,0,0,0,0.0,0.384,0.1180917404533708,0.3230086182667903,0,0,0,0,30,1.0,static,9,True
151,219,3000,313.6997550349696,729.4485781569797,0.1504320153697463,0.6131857173803366,596,0,0,0,0,0.0,0.1986666666666666,0.1045665850116565,0.2431495260523265,0,0,0,0,30,1.0,static,10,True
247,515,3000,354.2366770410977,1310.9301434595875,0.1488716795399664,0.7504639263901983,2970,0,0,0,0,0.0,0.99,0.1180788923470325,0.4369767144865291,0,0,0,0,30,1.0,static,11,True
146,151,3000,372.9228594970015,823.9040043502332,0.1554518181859083,0.5710120368284894,391,0,0,0,0,0.0,0.1303333333333333,0.1243076198323338,0.2746346681167444,0,0,0,0,30,1.0,static,12,True
180,317,3000,375.7423067405981,1133.0920739547755,0.1658377951481238,0.7138158546084991,2363,0,0,0,0,0.0,0.7876666666666666,0.1252474355801993,0.3776973579849251,0,0,0,0,30,1.0,static,13,True
