FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed
88,252,252,17.671491151359394,43.17451778983208,0.1575812262176163,0.6643906796733758,79,15,171,58,113,-3.919626075169291e-09,0.3134920634920635,0.0701249648863468,0.1713274515469527,0,54,36,113,60,1.0,random,3
85,319,320,20.811430859375573,49.580479949627254,0.13524866821001844,0.6284984626005099,82,12,217,55,162,-1.1992797945994226e-06,0.25625,0.06503572143554867,0.15493899984258516,0,51,44,162,60,1.0,random,4
113,264,265,16.760733211820032,35.967147690596406,0.14518837792936445,0.6328057023136064,67,11,176,55,121,5.248683304054628e-06,0.2528301886792453,0.06324804985592465,0.1357250856248921,0,50,38,121,60,1.0,random,5
111,159,1667,151.00373788302483,287.0669449844902,0.10227173354791463,0.4461274420697132,20,5,1590,32,1558,-1.3915161466128448e-07,0.011990407673860911,0.09052981887471512,0.17210248500269196,0,28,11,50,60,1.0,random,6
67,175,263,23.824194438814004,60.05106363621633,0.16756835697572253,0.6644696722911521,126,9,205,38,167,-3.7481977002250195e-06,0.4790874524714829,0.09058629064187834,0.22833104044188718,0,33,52,167,60,1.0,random,7
141,307,331,16.763451837585976,35.95588731685434,0.11665022792028082,0.607055660368057,38,11,166,50,116,1.0413836838804902e-06,0.1148036253776435,0.05064486959995763,0.10862805835907655,0,47,22,116,60,1.0,random,8
129,284,284,14.592173093945874,31.060721284972804,0.12686386417595583,0.6129528163266862,42,11,161,51,110,-7.226699221973281e-06,0.14788732394366197,0.05138089117586575,0.10936873691891832,0,47,22,110,60,1.0,random,9
71,189,189,10.668739942323052,20.58932348293835,0.13284765567865178,0.6218322915631536,34,8,135,54,81,8.775181400416496e-06,0.17989417989417988,0.056448359483190755,0.1089382194864463,0,51,15,81,60,1.0,random,10
82,246,246,12.95747982190763,26.856565386251,0.13208977932243443,0.6293979342188477,43,13,148,61,87,6.376336090041212e-06,0.17479674796747968,0.05267268220287654,0.10917303002541057,0,58,24,87,60,1.0,random,11
110,232,237,11.936110877765364,23.173578759342586,0.12940190962514533,0.6336064224591388,40,10,126,51,75,8.677290172346222e-06,0.16877637130801687,0.05036333703698466,0.09777881333055943,0,44,24,75,60,1.0,random,12
153,312,451,27.737031344262256,81.86532392518177,0.10799964377381117,0.6906912711755309,154,10,269,44,225,-4.729517038438861e-06,0.34146341463414637,0.061501178146922963,0.1815195652443055,0,38,117,225,60,1.0,random,13
138,269,269,12.649513935430093,26.165108976265465,0.12257697304783335,0.6203480697509818,41,13,146,60,86,-2.504416492337205e-06,0.1524163568773234,0.04702421537334607,0.09726806310879355,0,57,36,86,60,1.0,random,14
87,274,733,85.58869679143291,299.90687561629284,0.15674233556474318,0.7842561475802844,647,14,737,59,678,-4.049710023978456e-07,0.8826739427012278,0.11676493423114995,0.4091498985215455,0,51,662,678,60,1.0,greedy,0
98,310,1186,120.59116267606615,417.67990813602387,0.13371270761488258,0.8071503350251967,1053,14,1142,63,1079,-4.0081662054581165e-07,0.887858347386172,0.10167888927155662,0.352175301969666,0,56,1062,1079,60,1.0,greedy,1
92,415,427,30.92959175131805,104.66767524900827,0.1306002789093087,0.7411516933351315,350,21,436,87,349,-3.397179875453919e-06,0.819672131147541,0.07243464110378935,0.24512336123889525,0,76,331,349,60,1.0,greedy,2
